Name,Age,City,Gender,Email,Join Date
Aditya,24,Delhi,Male,aditya@gmail.com,15-01-2023
Rahul,,Mumbai,Male,rahul@yahoo.com,10-02-2023
Sneha,22,,Female,sneha@gmail.com,05-03-2023
Rohit,30,Hyderabad,,rohit@gmail.com,28-02-2023
Amit,28,Bangalore,Male,amit@gmail.com,
Neha,,Delhi,Female,neha@yahoo.com,12-04-2023
Rohit,30,Hyderabad,,rohit@gmail.com,28-02-2023
Kiran,27,,Male,,18-03-2023
Simran,23,Chandigarh,Female,simran@gmail.com,
Vikas,,Jaipur,Male,vikas@yahoo.com,01-05-2023
Anjali,26,Indore,Female,,20-04-2023
Suresh,35,,Male,suresh@gmail.com,08-01-2023
Meena,,Bhopal,Female,meena@yahoo.com,
Arjun,29,Chennai,,,14-02-2023
Kavya,21,Kochi,Female,kavya@gmail.com,30-03-2023
Kavya,21,Kochi,Female,kavya@gmail.com,30-03-2023
Aditya,24,Delhi,Male,aditya@gmail.com,15-01-2023
